SCHOOL_ID,SCHOOL_YEAR,SCHOOL_NAME,TOTAL_ENROLLMENT,CHRONIC_ABSENTEEISM_RATE,ABSENTEEISM_TIER,ELA_PCT_PROFICIENT,ELA_SUPPRESSED,MATH_PCT_PROFICIENT,MATH_SUPPRESSED,DBT_UPDATED_AT
2072,2021,Dr Beverly S Mathis Elementary School,899,30,Critical,51,FALSE,41,FALSE,2026-06-23 16:30:42.783 -0700
2072,2022,Dr Beverly S Mathis Elementary School,864,26,High,48,FALSE,49,FALSE,2026-06-23 16:30:42.783 -0700
2072,2023,Dr Beverly S Mathis Elementary School,887,26,High,54,FALSE,56,FALSE,2026-06-23 16:30:42.783 -0700
2072,2024,Dr Beverly S Mathis Elementary School,814,20,High,59,FALSE,60,FALSE,2026-06-23 16:30:42.783 -0700
2073,2020,Lomie G Heard Elementary School,767,9,Low,37,FALSE,17,FALSE,2026-06-23 16:30:42.783 -0700
2073,2021,Lomie G Heard Elementary School,765,30,Critical,44,FALSE,29,FALSE,2026-06-23 16:30:42.783 -0700
2073,2022,Lomie G Heard Elementary School,703,23,High,40,FALSE,32,FALSE,2026-06-23 16:30:42.783 -0700
2073,2023,Lomie G Heard Elementary School,685,14,Moderate,47,FALSE,41,FALSE,2026-06-23 16:30:42.783 -0700
2073,2024,Lomie G Heard Elementary School,603,8,Low,47,FALSE,48,FALSE,2026-06-23 16:30:42.783 -0700
2074,2020,Don & Dee Snyder Elementary School,708,17,Moderate,49,FALSE,31,FALSE,2026-06-23 16:30:42.783 -0700
2074,2021,Don & Dee Snyder Elementary School,646,37,Critical,52,FALSE,40,FALSE,2026-06-23 16:30:42.783 -0700
2074,2022,Don & Dee Snyder Elementary School,713,37,Critical,45,FALSE,37,FALSE,2026-06-23 16:30:42.783 -0700
2074,2023,Don & Dee Snyder Elementary School,693,29,High,45,FALSE,35,FALSE,2026-06-23 16:30:42.783 -0700
2074,2024,Don & Dee Snyder Elementary School,679,25,High,54,FALSE,38,FALSE,2026-06-23 16:30:42.783 -0700
2076,2020,Ruby Duncan Elementary School,614,32,Critical,29,FALSE,11,FALSE,2026-06-23 16:30:42.783 -0700
2076,2021,Ruby Duncan Elementary School,599,49,Critical,32,FALSE,19,FALSE,2026-06-23 16:30:42.783 -0700
2076,2022,Ruby Duncan Elementary School,654,44,Critical,34,FALSE,26,FALSE,2026-06-23 16:30:42.783 -0700
2076,2023,Ruby Duncan Elementary School,690,33,Critical,32,FALSE,23,FALSE,2026-06-23 16:30:42.783 -0700
2076,2024,Ruby Duncan Elementary School,718,30,Critical,34,FALSE,23,FALSE,2026-06-23 16:30:42.783 -0700
2077,2020,Shirley & Bill Wallin Elementary School,551,7,Low,61,FALSE,45,FALSE,2026-06-23 16:30:42.783 -0700
2077,2021,Shirley & Bill Wallin Elementary School,527,20,High,69,FALSE,60,FALSE,2026-06-23 16:30:42.783 -0700
2077,2022,Shirley & Bill Wallin Elementary School,503,25,High,64,FALSE,64,FALSE,2026-06-23 16:30:42.783 -0700
2077,2023,Shirley & Bill Wallin Elementary School,702,20,High,72,FALSE,72,FALSE,2026-06-23 16:30:42.783 -0700
2077,2024,Shirley & Bill Wallin Elementary School,735,20,High,70,FALSE,66,FALSE,2026-06-23 16:30:42.783 -0700
2078,2020,Evelyn Stuckey Elementary School,546,17,Moderate,54,FALSE,47,FALSE,2026-06-23 16:30:42.783 -0700
2078,2021,Evelyn Stuckey Elementary School,545,30,Critical,63,FALSE,58,FALSE,2026-06-23 16:30:42.783 -0700
2078,2022,Evelyn Stuckey Elementary School,578,31,Critical,59,FALSE,57,FALSE,2026-06-23 16:30:42.783 -0700
2078,2023,Evelyn Stuckey Elementary School,608,25,High,65,FALSE,63,FALSE,2026-06-23 16:30:42.783 -0700
2078,2024,Evelyn Stuckey Elementary School,581,21,High,65,FALSE,57,FALSE,2026-06-23 16:30:42.783 -0700
2079,2020,Charlotte & Jerry Keller Elementary School,554,39,Critical,23,FALSE,12,FALSE,2026-06-23 16:30:42.783 -0700
2079,2021,Charlotte & Jerry Keller Elementary School,503,42,Critical,30,FALSE,22,FALSE,2026-06-23 16:30:42.783 -0700
2079,2022,Charlotte & Jerry Keller Elementary School,501,37,Critical,31,FALSE,32,FALSE,2026-06-23 16:30:42.783 -0700
2079,2023,Charlotte & Jerry Keller Elementary School,496,33,Critical,38,FALSE,34,FALSE,2026-06-23 16:30:42.783 -0700
2079,2024,Charlotte & Jerry Keller Elementary School,434,20,High,46,FALSE,37,FALSE,2026-06-23 16:30:42.783 -0700
2080,2020,Mark L Fine Elementary School,788,16,Moderate,45,FALSE,29,FALSE,2026-06-23 16:30:42.783 -0700
2080,2021,Mark L Fine Elementary School,790,31,Critical,54,FALSE,40,FALSE,2026-06-23 16:30:42.783 -0700
2080,2022,Mark L Fine Elementary School,761,35,Critical,36,FALSE,35,FALSE,2026-06-23 16:30:42.783 -0700
2080,2023,Mark L Fine Elementary School,758,32,Critical,45,FALSE,35,FALSE,2026-06-23 16:30:42.783 -0700
2080,2024,Mark L Fine Elementary School,723,30,Critical,45,FALSE,41,FALSE,2026-06-23 16:30:42.783 -0700
2081,2020,Henry & Evelyn Bozarth Elementary School,850,6,Low,51,FALSE,36,FALSE,2026-06-23 16:30:42.783 -0700
2081,2021,Henry & Evelyn Bozarth Elementary School,808,21,High,64,FALSE,56,FALSE,2026-06-23 16:30:42.783 -0700
2081,2022,Henry & Evelyn Bozarth Elementary School,799,21,High,61,FALSE,53,FALSE,2026-06-23 16:30:42.783 -0700
2081,2023,Henry & Evelyn Bozarth Elementary School,771,18,Moderate,64,FALSE,53,FALSE,2026-06-23 16:30:42.783 -0700
2081,2024,Henry & Evelyn Bozarth Elementary School,723,18,Moderate,68,FALSE,58,FALSE,2026-06-23 16:30:42.783 -0700
2082,2020,Vincent L Triggs Elementary School,571,13,Moderate,41,FALSE,27,FALSE,2026-06-23 16:30:42.783 -0700
2082,2021,Vincent L Triggs Elementary School,636,35,Critical,45,FALSE,37,FALSE,2026-06-23 16:30:42.783 -0700
2082,2022,Vincent L Triggs Elementary School,776,28,High,43,FALSE,40,FALSE,2026-06-23 16:30:42.783 -0700
2082,2023,Vincent L Triggs Elementary School,761,22,High,47,FALSE,45,FALSE,2026-06-23 16:30:42.783 -0700
2082,2024,Vincent L Triggs Elementary School,798,23,High,53,FALSE,45,FALSE,2026-06-23 16:30:42.783 -0700
2083,2020,Thomas ORoarke Elementary School,750,7,Low,56,FALSE,35,FALSE,2026-06-23 16:30:42.783 -0700
2083,2021,Thomas ORoarke Elementary School,787,26,High,65,FALSE,54,FALSE,2026-06-23 16:30:42.783 -0700
2083,2022,Thomas ORoarke Elementary School,758,26,High,67,FALSE,59,FALSE,2026-06-23 16:30:42.783 -0700
2083,2023,Thomas ORoarke Elementary School,632,19,Moderate,64,FALSE,64,FALSE,2026-06-23 16:30:42.783 -0700
2083,2024,Thomas ORoarke Elementary School,637,19,Moderate,70,FALSE,61,FALSE,2026-06-23 16:30:42.783 -0700
2084,2020,Carolyn S Reedom Elementary School,548,10,Moderate,43,FALSE,29,FALSE,2026-06-23 16:30:42.783 -0700
2084,2021,Carolyn S Reedom Elementary School,567,37,Critical,48,FALSE,35,FALSE,2026-06-23 16:30:42.783 -0700
2084,2022,Carolyn S Reedom Elementary School,536,30,Critical,48,FALSE,37,FALSE,2026-06-23 16:30:42.783 -0700
2084,2023,Carolyn S Reedom Elementary School,525,26,High,52,FALSE,48,FALSE,2026-06-23 16:30:42.783 -0700
2084,2024,Carolyn S Reedom Elementary School,499,28,High,54,FALSE,54,FALSE,2026-06-23 16:30:42.783 -0700
