SCHOOL_ID,SCHOOL_NAME,REGION,ELA_FIRST_YEAR,ELA_LATEST_YEAR,ELA_FIRST_PCT,ELA_LATEST_PCT,ELA_OVERALL_CHANGE,MATH_FIRST_YEAR,MATH_LATEST_YEAR,MATH_FIRST_PCT,MATH_LATEST_PCT,MATH_OVERALL_CHANGE,COMPOSITE_OVERALL_CHANGE,ELA_YEARS_IMPROVED,ELA_YEARS_DECLINED,ELA_YEARS_MEASURED,MATH_YEARS_IMPROVED,MATH_YEARS_DECLINED,MATH_YEARS_MEASURED,COMPOSITE_YEARS_IMPROVED,COMPOSITE_YEARS_DECLINED,ELA_PEAK_YOY,MATH_PEAK_YOY,COMPOSITE_PEAK_YOY,CONSISTENCY_SCORE,IMPROVEMENT_SCORE,ELA_OVERALL_RANK,MATH_OVERALL_RANK,COMPOSITE_OVERALL_RANK,CONSISTENCY_RANK,ELA_PEAK_RANK,MATH_PEAK_RANK,COMPOSITE_PEAK_RANK,IMPROVEMENT_CATEGORY,OVERALL_IMPROVEMENT_RANK,REGIONAL_IMPROVEMENT_RANK
2223,Lois Craig Elementary School,Region 1,2020,2024,18,13,-5,2020,2024,9,13,4,-0.5,2,2,4,2,1,4,2,2,5,5,5.0,0.5,0.527,283,254,281,215,226,225,221,Needs Attention,272,70
2352,Clifford O Findlay Middle School,Region 1,2020,2024,27,24,-3,2020,2024,9,8,-1,-2.0,2,2,4,1,1,4,2,2,3,1,2.0,0.5,0.519,273,287,286,215,270,291,292,Needs Attention,274,71
2279,Grant Bowler Elementary School,Region 1,2020,2024,52,52,0,2020,2024,44,55,11,5.5,1,2,4,2,2,4,1,2,7,11,9.0,0.33,0.453,248,179,219,277,166,96,114,Mixed Progress,279,72
2163,Berkeley L Bunker Elementary School,Region 1,2020,2024,25,21,-4,2020,2024,8,22,14,5.0,1,2,4,1,1,4,1,2,6,17,11.5,0.33,0.451,278,138,222,277,190,25,55,Mixed Progress,280,73
2151,Dean LaMar Allen Elementary School,Region 1,2020,2024,50,45,-5,2020,2024,31,44,13,4.0,0,3,4,2,2,4,1,2,0,13,6.0,0.33,0.446,283,152,238,277,295,63,194,Mixed Progress,281,74
2325,Theron L Swainston Middle School,Region 1,2020,2024,27,27,0,2020,2024,8,11,3,1.5,1,3,4,3,1,4,1,2,8,2,5.0,0.33,0.434,248,265,265,277,135,280,221,Mixed Progress,282,75
2336,Indian Springs Middle School,Region 1,2020,2024,37,45,8,2021,2024,16,17,1,4.5,2,2,4,1,2,3,1,3,12,3,7.5,0.25,0.401,139,277,229,290,47,259,151,Mixed Progress,290,76
2181,Roger D Gehring Academy of Science and Technology Elementary School,Region 3,2020,2024,56,84,28,2020,2024,48,82,34,31.0,4,0,4,3,1,4,4,0,19,13,16.0,1,0.978,4,3,2,1,6,63,18,Consistently Improving,2,1
2066,Shirley A Barber Elementary School,Region 3,2020,2024,31,56,25,2020,2024,20,49,29,27.0,4,0,4,4,0,4,4,0,11,15,9.0,1,0.959,11,14,5,1,62,38,114,Consistently Improving,4,2
2158,Roberta C Cartwright Elementary School,Region 3,2020,2024,33,54,21,2020,2024,12,42,30,25.5,2,1,4,3,0,4,3,0,15,13,14.0,1,0.952,22,9,12,1,20,63,29,Consistently Improving,7,3
2298,Estes M McDoniel Elementary School,Region 3,2020,2024,48,66,18,2020,2024,31,63,32,25.0,3,0,4,4,0,4,4,0,10,14,9.5,1,0.949,32,5,15,1,87,49,98,Consistently Improving,9,4
2234,Quannah McCall Elementary School,Region 3,2020,2024,14,36,22,2020,2024,8,35,27,24.5,3,1,4,4,0,4,3,0,10,9,9.5,1,0.947,16,28,18,1,87,132,98,Consistently Improving,10,5
2277,Nate Mack Elementary School,Region 3,2020,2024,45,63,18,2020,2024,24,54,30,24.0,3,1,4,3,1,4,4,0,9,15,10.0,1,0.945,32,9,19,1,104,38,88,Consistently Improving,11,6
2079,Charlotte & Jerry Keller Elementary School,Region 3,2020,2024,23,46,23,2020,2024,12,37,25,24.0,4,0,4,4,0,4,4,0,8,10,8.5,1,0.945,13,43,19,1,135,112,128,Consistently Improving,11,6
2259,Cyril Wengert Elementary School,Region 3,2020,2024,20,46,26,2020,2024,12,33,21,23.5,3,1,4,3,1,4,4,0,13,10,11.5,1,0.942,6,68,21,1,40,112,55,Consistently Improving,13,8
2260,Myrtle Tate Elementary School,Region 3,2020,2024,19,35,16,2020,2024,15,38,23,19.5,3,0,4,4,0,4,4,0,9,13,11.0,1,0.923,45,54,48,1,104,63,68,Consistently Improving,26,9
2280,John C Bass Elementary School,Region 3,2020,2024,41,59,18,2020,2024,28,47,19,18.5,3,0,4,3,0,4,3,0,10,8,7.5,1,0.918,32,87,54,1,87,157,151,Consistently Improving,27,10
