SCHOOL_ID,SCHOOL_NAME,REGION,SCHOOL_YEAR,ELA_PCT,ELA_PRIOR_YEAR,ELA_YOY_CHANGE,ELA_DIRECTION,MATH_PCT,MATH_PRIOR_YEAR,MATH_YOY_CHANGE,MATH_DIRECTION,COMPOSITE_PCT,COMPOSITE_YOY_CHANGE
2213,J E Manch Elementary School,Region 1,2023,19,17,2,Up,8,10,-2,Down,13.5,0.0
2213,J E Manch Elementary School,Region 1,2024,21,19,2,Up,11,8,3,Up,16.0,2.5
2162,Sue H Morrow Elementary School,Region 3,2020,47,,,,27,,,,37.0,
2162,Sue H Morrow Elementary School,Region 3,2021,61,47,14,Up,52,27,25,Up,56.5,19.5
2162,Sue H Morrow Elementary School,Region 3,2022,63,61,2,Up,54,52,2,Up,58.5,2.0
2162,Sue H Morrow Elementary School,Region 3,2023,57,63,-6,Down,51,54,-3,Down,54.0,-4.5
2162,Sue H Morrow Elementary School,Region 3,2024,67,57,10,Up,53,51,2,Up,60.0,6.0
2187,John R Hummel Elementary School,Region 3,2020,26,,,,15,,,,20.5,
2187,John R Hummel Elementary School,Region 3,2021,35,26,9,Up,23,15,8,Up,29.0,8.5
2187,John R Hummel Elementary School,Region 3,2022,35,35,0,Flat,26,23,3,Up,30.5,1.5
2187,John R Hummel Elementary School,Region 3,2023,33,35,-2,Down,31,26,5,Up,32.0,1.5
2187,John R Hummel Elementary School,Region 3,2024,34,33,1,Up,29,31,-2,Down,31.5,-0.5
2355,Del E Webb Middle School,Region 3,2020,65,,,,44,,,,54.5,
2355,Del E Webb Middle School,Region 3,2021,64,65,-1,Down,45,44,1,Up,54.5,0.0
2355,Del E Webb Middle School,Region 3,2022,56,64,-8,Down,48,45,3,Up,52.0,-2.5
2355,Del E Webb Middle School,Region 3,2023,53,56,-3,Down,47,48,-1,Down,50.0,-2.0
2355,Del E Webb Middle School,Region 3,2024,62,53,9,Up,48,47,1,Up,55.0,5.0
2912,Juvenile Detention 6-12 JR/SR High School,Alternative,2020,,,,,,,,,,
2912,Juvenile Detention 6-12 JR/SR High School,Alternative,2021,,,,,,,,,,
